src,dst,weight
Little Italy/NoLiTa,Washington Heights North,78
Central Harlem North,Flatbush/Ditmas Park,5
Mott Haven/Port Morris,Garment District,2
Stuy Town/Peter Cooper Village,Williamsburg (North Side),47
Yorkville West,Manhattanville,254
Prospect Heights,Kensington,21
Ridgewood,Borough Park,1
Yorkville West,Bensonhurst West,4
Roosevelt Island,Old Astoria,11
Two Bridges/Seward Park,Washington Heights North,20
Williamsburg (South Side),East Harlem North,25
Elmhurst/Maspeth,Roosevelt Island,2
Greenwich Village North,Manhattanville,74
Long Island City/Hunters Point,Bushwick South,34
East Williamsburg,Lenox Hill West,17
Kensington,Boerum Hill,18
Greenwich Village South,Woodside,109
Long Island City/Queens Plaza,Manhattanville,12
Gramercy,Ocean Hill,31
Bedford,Red Hook,7
Gowanus,Clinton Hill,18
Upper West Side North,Westchester Village/Unionport,7
Morrisania/Melrose,University Heights/Morris Heights,7
College Point,Maspeth,1
Prospect Park,Williamsburg (South Side),7
Midtown East,Flatlands,24
Hillcrest/Pomonok,Greenpoint,2
Times Sq/Theatre District,Williamsbridge/Olinville,18
Boerum Hill,Brighton Beach,4
South Williamsburg,Flatbush/Ditmas Park,7
Jamaica,Upper West Side North,8
Greenpoint,Meatpacking/West Village West,10
South Ozone Park,South Jamaica,7
Flushing Meadows-Corona Park,Ridgewood,1
Union Sq,Sheepshead Bay,7
Downtown Brooklyn/MetroTech,South Williamsburg,37
East Concourse/Concourse Village,Times Sq/Theatre District,2
Rego Park,Steinway,4
University Heights/Morris Heights,Van Cortlandt Village,4
Financial District South,Woodside,25
DUMBO/Vinegar Hill,Greenwich Village South,50
Little Italy/NoLiTa,Flatlands,13
UN/Turtle Bay South,College Point,8
NA,West Chelsea/Hudson Yards,6
Penn Station/Madison Sq West,East New York/Pennsylvania Avenue,10
Prospect-Lefferts Gardens,Red Hook,6
Crown Heights South,Clinton West,1
Brooklyn Navy Yard,Astoria,1
Times Sq/Theatre District,Far Rockaway,2
Lenox Hill East,Starrett City,1
Bedford Park,Van Cortlandt Village,5
Cypress Hills,South Jamaica,1
Jackson Heights,Astoria Park,3
Upper West Side North,East Flushing,2
Queensbridge/Ravenswood,Murray Hill-Queens,1
Springfield Gardens North,Penn Station/Madison Sq West,1
Kensington,Brighton Beach,3
Upper East Side South,Howard Beach,2
Lower East Side,South Jamaica,5
Long Island City/Queens Plaza,Hunts Point,1
Woodside,Gowanus,2
Ocean Hill,Boerum Hill,3
Manhattanville,Woodlawn/Wakefield,2
Lincoln Square East,Glendale,2
Penn Station/Madison Sq West,New Dorp/Midland Beach,3
Washington Heights South,Seaport,3
Saint Michaels Cemetery/Woodside,Union Sq,1
Elmhurst/Maspeth,Howard Beach,1
Stuy Town/Peter Cooper Village,Co-Op City,1
Forest Hills,Williamsburg (North Side),1
Carroll Gardens,Homecrest,2
East Harlem North,Erasmus,2
Downtown Brooklyn/MetroTech,College Point,2
Seaport,Glen Oaks,2
Columbia Street,Manhattan Valley,1
Lenox Hill East,West Brighton,1
Queensbridge/Ravenswood,Manhattan Valley,2
Bensonhurst West,Coney Island,1
Financial District North,Crotona Park East,2
Highbridge,Borough Park,1
Elmhurst/Maspeth,Greenwich Village North,1
Clinton East,Clinton East,20300
Union Sq,Central Harlem,624
Financial District South,Upper East Side North,280
Flatiron,Upper West Side North,1115
Garment District,Washington Heights North,302
Williamsburg (North Side),Bedford,334
Stuy Town/Peter Cooper Village,Upper East Side North,277
UN/Turtle Bay South,Two Bridges/Seward Park,533
Sunset Park West,Little Italy/NoLiTa,5
Prospect-Lefferts Gardens,Prospect-Lefferts Gardens,192
Midtown North,Astoria,1160
Long Island City/Queens Plaza,Kips Bay,98
Lenox Hill East,UN/Turtle Bay South,5259
Greenwich Village South,Financial District South,589
Penn Station/Madison Sq West,Hudson Sq,2137
Lincoln Square East,TriBeCa/Civic Center,1454
Astoria,Elmhurst/Maspeth,112
JFK Airport,Union Sq,2191
Alphabet City,Flatiron,647
Central Harlem,JFK Airport,174
UN/Turtle Bay South,Woodhaven,15
Washington Heights South,Mott Haven/Port Morris,62
Upper East Side South,Little Italy/NoLiTa,1042
West Chelsea/Hudson Yards,NA,267
Downtown Brooklyn/MetroTech,Crown Heights North,176
Hudson Sq,Gramercy,1301
Hudson Sq,Clinton Hill,213
Lenox Hill East,Bay Terrace/Fort Totten,2
East Williamsburg,Midtown North,17
Flatiron,Steinway,177
Clinton West,Claremont/Bathgate,7
SoHo,Upper West Side South,492
East Village,Manhattan Valley,642
Clinton East,Maspeth,119
Roosevelt Island,Penn Station/Madison Sq West,4
East Concourse/Concourse Village,East Harlem North,8
Yorkville West,East Elmhurst,20
UN/Turtle Bay South,Flushing,26
UN/Turtle Bay South,Woodside,130
Financial District North,East Harlem North,129
Mount Hope,West Concourse,9
SoHo,Stuyvesant Heights,137
Borough Park,East Harlem North,1
Spuyten Duyvil/Kingsbridge,NA,6
Upper West Side South,Claremont/Bathgate,13
Financial District North,Cobble Hill,156
Clinton West,Prospect-Lefferts Gardens,29
Seaport,Washington Heights South,28
Meatpacking/West Village West,Bushwick South,158
Two Bridges/Seward Park,Prospect Heights,58
Williamsburg (South Side),Hudson Sq,23
University Heights/Morris Heights,NA,4
Central Harlem,Williamsburg (North Side),10
Williamsburg (North Side),Sunset Park East,10
Union Sq,East Flushing,7
Flatiron,Madison,11
Little Italy/NoLiTa,Crown Heights South,106
Greenpoint,Greenwich Village North,10
Lower East Side,Columbia Street,94
West Concourse,Manhattan Valley,10
Greenwich Village South,East Flatbush/Farragut,13
Longwood,Mount Hope,2
West Village,Woodlawn/Wakefield,16
Ocean Hill,Bushwick South,9
Woodside,Stuyvesant Heights,3
Upper West Side South,Sunset Park East,7
Midtown North,Prospect-Lefferts Gardens,26
Midtown North,West Concourse,23
Queensbridge/Ravenswood,Union Sq,34
Central Harlem,Newark Airport,18
Central Harlem,Seaport,8
East Elmhurst,Stuy Town/Peter Cooper Village,1
Kew Gardens,NV,2
South Ozone Park,Yorkville East,2
Mott Haven/Port Morris,Old Astoria,4
Kensington,Garment District,1
Forest Hills,Queens Village,4
Brooklyn Navy Yard,Downtown Brooklyn/MetroTech,19
Kips Bay,Queensboro Hill,4
Prospect-Lefferts Gardens,Brownsville,13
Lincoln Square East,Woodhaven,14
Little Italy/NoLiTa,East Tremont,2
Financial District South,Melrose South,3
Astoria,Brownsville,1
East New York,Fort Greene,4
West Chelsea/Hudson Yards,Fresh Meadows,1
Meatpacking/West Village West,Bensonhurst West,32
UN/Turtle Bay South,Soundview/Castle Hill,5
Lenox Hill East,Prospect Park,6
Financial District South,Dyker Heights,16
Springfield Gardens South,Manhattan Valley,2
Hammels/Arverne,Brownsville,2
Yorkville East,Country Club,1
Jamaica,Meatpacking/West Village West,7
Melrose South,Co-Op City,3
Prospect Park,West Village,1
Financial District North,East Concourse/Concourse Village,6
Central Harlem,Jamaica,1
Carroll Gardens,Marine Park/Mill Basin,2
Stuy Town/Peter Cooper Village,Grymes Hill/Clifton,1
Jamaica,Clinton West,5
Kew Gardens Hills,Briarwood/Jamaica Hills,1
Upper East Side North,East Flatbush/Remsen Village,8
Prospect Park,South Ozone Park,1
Sutton Place/Turtle Bay North,South Jamaica,2
East Flushing,Kew Gardens Hills,1
Baisley Park,Cypress Hills,1
Green-Wood Cemetery,Prospect Park,1
West Farms/Bronx River,Flatbush/Ditmas Park,1
Clinton Hill,Dyker Heights,4
Greenwich Village South,Country Club,2
South Williamsburg,Ocean Parkway South,1
Greenwich Village South,Bellerose,2
West Village,Bay Terrace/Fort Totten,4
University Heights/Morris Heights,Van Nest/Morris Park,2
Saint Michaels Cemetery/Woodside,Stuy Town/Peter Cooper Village,1
Long Island City/Hunters Point,Saint Albans,2
Clinton East,Forest Park/Highland Park,1
Forest Hills,Springfield Gardens South,1
Manhattan Valley,Randalls Island,2
Sunset Park West,Flatlands,1
Chinatown,Co-Op City,2
Kew Gardens,Baisley Park,1
Springfield Gardens South,Union Sq,2
Yorkville West,Rockaway Park,1
Sheepshead Bay,Gravesend,1
East Village,Laurelton,1
Woodside,Ocean Hill,1
Prospect Park,Central Park,1
West Chelsea/Hudson Yards,Woodhaven,1
Sunnyside,TriBeCa/Civic Center,43
Clinton East,West Chelsea/Hudson Yards,12442
Alphabet City,Midtown East,425
JFK Airport,Stuyvesant Heights,1129
Midtown South,Sunnyside,629
Sutton Place/Turtle Bay North,LaGuardia Airport,1742
Greenwich Village North,Bushwick South,255
Midtown North,Woodside,253
Sutton Place/Turtle Bay North,Forest Park/Highland Park,2
Midtown Center,Lenox Hill East,5942
SoHo,JFK Airport,473
Sunnyside,Columbia Street,11
Garment District,Midtown North,9889
Lenox Hill East,Lenox Hill East,9671
TriBeCa/Civic Center,Downtown Brooklyn/MetroTech,799
Two Bridges/Seward Park,Astoria,88
Greenwich Village North,Little Italy/NoLiTa,4906
Manhattan Valley,Lincoln Square East,5478
Manhattan Valley,Yorkville East,700
Queensbridge/Ravenswood,JFK Airport,9
JFK Airport,Hudson Sq,751
Crown Heights South,Crown Heights North,80
Yorkville East,Financial District North,610
LaGuardia Airport,Woodhaven,102
Financial District North,Flatiron,830
Washington Heights South,Upper West Side North,327
Two Bridges/Seward Park,Upper East Side South,139
Crown Heights North,East New York/Pennsylvania Avenue,19
Midtown North,Cambria Heights,1
LaGuardia Airport,East Concourse/Concourse Village,172
Clinton West,World Trade Center,309
Downtown Brooklyn/MetroTech,Seaport,79
DUMBO/Vinegar Hill,World Trade Center,52
Greenwich Village North,Seaport,549
Washington Heights South,Riverdale/North Riverdale/Fieldston,26
Central Park,NA,44
LaGuardia Airport,Longwood,48
Midtown Center,Washington Heights North,339
East Harlem South,Kingsbridge Heights,41
JFK Airport,Inwood Hill Park,17
Crown Heights North,Two Bridges/Seward Park,9
Williamsburg (North Side),Cobble Hill,41
Central Harlem North,Jackson Heights,11
JFK Airport,West Farms/Bronx River,84
Gramercy,Inwood,87
Brooklyn Heights,Bay Ridge,64
Manhattan Valley,Soundview/Castle Hill,12
Old Astoria,Corona,15
Central Harlem,Crown Heights South,7
Williamsburg (North Side),Flatbush/Ditmas Park,58
Old Astoria,North Corona,20
Greenpoint,Steinway,31
Maspeth,Fort Greene,4
Midtown North,Morrisania/Melrose,5
Central Harlem North,Morrisania/Melrose,43
Van Nest/Morris Park,Schuylerville/Edgewater Park,3
Inwood Hill Park,East Harlem South,1
Kew Gardens,Far Rockaway,2
Long Island City/Hunters Point,East Harlem South,37
Bloomingdale,Parkchester,6
TriBeCa/Civic Center,Elmhurst/Maspeth,38
Murray Hill,Erasmus,16
West Chelsea/Hudson Yards,Cobble Hill,86
Downtown Brooklyn/MetroTech,Woodhaven,5
Upper East Side North,Belmont,26
Penn Station/Madison Sq West,Crotona Park East,16
Boerum Hill,Central Park,10
East Village,Highbridge,38
Astoria,SoHo,23
Little Italy/NoLiTa,Glendale,11
Garment District,Red Hook,55
World Trade Center,Elmhurst,37
Brooklyn Heights,East New York/Pennsylvania Avenue,3
Cobble Hill,Lower East Side,31
Columbia Street,Cobble Hill,16
Crotona Park East,Times Sq/Theatre District,2
Woodside,Roosevelt Island,7
Lincoln Square West,Bronxdale,7
Alphabet City,East Elmhurst,2
Lenox Hill East,Inwood Hill Park,11
Lower East Side,Williamsbridge/Olinville,6
Lincoln Square West,South Beach/Dongan Hills,1
Upper West Side North,Cypress Hills,1
Greenwich Village North,Howard Beach,2
Upper West Side South,Bedford,45
Financial District North,Gravesend,6
East Chelsea,Randalls Island,1
Penn Station/Madison Sq West,Bronx Park,12
Gramercy,Marble Hill,1
Meatpacking/West Village West,Baisley Park,4
Astoria,Prospect Park,1
Upper West Side South,Bellerose,1
Williamsburg (North Side),Canarsie,4
Jamaica Estates,Gramercy,1
Bloomingdale,Highbridge Park,4
East Harlem North,Springfield Gardens South,2
Westchester Village/Unionport,LaGuardia Airport,1
Fresh Meadows,Steinway,1
Jamaica Estates,Forest Hills,2
Sutton Place/Turtle Bay North,Port Richmond,1
East Village,Pelham Bay Park,1
Van Nest/Morris Park,Co-Op City,1
Bay Ridge,Homecrest,1
Lenox Hill West,Saint Albans,1
SoHo,Eastchester,1
Canarsie,Brighton Beach,3
Manhattan Valley,Bloomfield/Emerson Hill,1
East New York/Pennsylvania Avenue,Ridgewood,1
Highbridge,Greenwich Village South,1
Clinton Hill,Kew Gardens,1
Allerton/Pelham Gardens,JFK Airport,1
Upper West Side South,South Beach/Dongan Hills,1
Woodside,Kensington,3
Borough Park,NA,1
South Williamsburg,Elmhurst,1
Brooklyn Navy Yard,Flatiron,1
Midtown East,Breezy Point/Fort Tilden/Riis Beach,3
Springfield Gardens North,Flatbush/Ditmas Park,1
Jamaica,Lenox Hill West,2
Rego Park,Bushwick North,2
East New York,Bath Beach,1
Prospect Park,Upper West Side North,1
Washington Heights South,Briarwood/Jamaica Hills,1
Upper West Side North,Gramercy,602
Midtown Center,LaGuardia Airport,7780
Clinton West,JFK Airport,522
Jackson Heights,Woodside,579
West Village,Flatiron,9261
Astoria,East Harlem South,72
Garment District,Kingsbridge Heights,37
Central Harlem,Lenox Hill East,272
Two Bridges/Seward Park,Penn Station/Madison Sq West,342
Morningside Heights,Upper West Side North,5476
Gramercy,Midtown Center,6801
Meatpacking/West Village West,Gramercy,2451
Yorkville West,East Chelsea,700
Long Island City/Queens Plaza,Lincoln Square East,101
Lenox Hill West,Central Harlem,866
Astoria,Washington Heights South,39
SoHo,Cobble Hill,123
Stuy Town/Peter Cooper Village,Garment District,374
Stuy Town/Peter Cooper Village,Williamsburg (South Side),56
Greenwich Village North,East Chelsea,5724
Garment District,Mount Hope,44
North Corona,Corona,40
JFK Airport,Fordham South,67
Hudson Sq,Lower East Side,1654
Highbridge,Hamilton Heights,8
Washington Heights South,Lenox Hill East,111
Garment District,Lincoln Square West,1760
Garment District,Lower East Side,1112
East Village,Cobble Hill,396
Sunnyside,Boerum Hill,28
West Farms/Bronx River,East Tremont,2
Washington Heights South,Bronx Park,5
Upper East Side South,West Village,1854
DUMBO/Vinegar Hill,Lower East Side,55
Lenox Hill West,Queensbridge/Ravenswood,71
JFK Airport,Ocean Hill,330
Queensbridge/Ravenswood,Times Sq/Theatre District,26
Lenox Hill West,Jackson Heights,350
Seaport,Newark Airport,40
East Harlem South,Long Island City/Hunters Point,54
East Harlem South,Bedford Park,26
East Harlem South,Parkchester,20
Penn Station/Madison Sq West,Madison,11
Garment District,Co-Op City,20
Cobble Hill,Crown Heights North,61
Garment District,Long Island City/Hunters Point,309
LaGuardia Airport,West Brighton,4
LaGuardia Airport,East New York/Pennsylvania Avenue,41
NV,East Harlem North,178
Yorkville West,DUMBO/Vinegar Hill,39
Central Park,Highbridge,15
Flushing,Corona,7
Midtown East,Elmhurst,229
Financial District South,East Williamsburg,105
Carroll Gardens,West Village,48
East Harlem North,Queensbridge/Ravenswood,19
Alphabet City,Yorkville East,143
Gramercy,Fort Greene,314
Forest Hills,Long Island City/Hunters Point,8
West Village,Jackson Heights,183
Carroll Gardens,Lenox Hill East,49
Sunset Park West,Yorkville East,3
Long Island City/Queens Plaza,North Corona,22
Greenpoint,West Village,20
Seaport,East Williamsburg,57
Long Island City/Hunters Point,Woodhaven,12
Financial District South,Elmhurst,28
Forest Hills,Middle Village,16
Murray Hill,Saint George/New Brighton,8
Financial District North,East Williamsburg,165
Long Island City/Queens Plaza,Fort Greene,8
Park Slope,Seaport,27
Bushwick South,Bensonhurst West,2
Sunnyside,Norwood,4
Chinatown,Van Cortlandt Village,2
Crown Heights South,East Williamsburg,2
Inwood,Van Nest/Morris Park,2
Midtown North,Maspeth,81
Manhattan Valley,Hillcrest/Pomonok,1
Inwood,West Farms/Bronx River,3
East New York/Pennsylvania Avenue,Crown Heights North,7
West Chelsea/Hudson Yards,East Elmhurst,15
Van Nest/Morris Park,Bronx Park,1
Midtown East,Flatbush/Ditmas Park,91
Maspeth,Flatbush/Ditmas Park,1
Meatpacking/West Village West,University Heights/Morris Heights,8
Carroll Gardens,DUMBO/Vinegar Hill,105
Gramercy,Sheepshead Bay,11
Alphabet City,DUMBO/Vinegar Hill,45
East Harlem North,SoHo,37
Boerum Hill,Two Bridges/Seward Park,45
Battery Park,Flatiron,18
Battery Park City,Borough Park,15
Lincoln Square West,Mount Hope,10
Lenox Hill West,Whitestone,8
Old Astoria,Bushwick South,16
Financial District South,Allerton/Pelham Gardens,10
Bay Ridge,Heartland Village/Todt Hill,1
Clinton West,Canarsie,9
LaGuardia Airport,Oakwood,1
Corona,West Chelsea/Hudson Yards,5
West Village,Gravesend,12
Sutton Place/Turtle Bay North,Jamaica Estates,25
South Ozone Park,Bay Ridge,3
Baisley Park,Garment District,27
Midtown Center,Green-Wood Cemetery,2
Baisley Park,Howard Beach,3
Briarwood/Jamaica Hills,Flatlands,1
Lenox Hill East,Kew Gardens Hills,27
Flatbush/Ditmas Park,Bath Beach,1
Central Park,Queensbridge/Ravenswood,10
Glendale,Richmond Hill,4
Boerum Hill,East Harlem North,3
TriBeCa/Civic Center,Eastchester,2
Chinatown,Soundview/Bruckner,8
Springfield Gardens South,Sutton Place/Turtle Bay North,4
NA,Whitestone,1
Westchester Village/Unionport,Van Nest/Morris Park,7
Brighton Beach,JFK Airport,1
Williamsburg (South Side),Mount Hope,1
Long Island City/Queens Plaza,Bronxdale,3
Murray Hill,New Dorp/Midland Beach,1
Homecrest,Kensington,1
Gramercy,Flushing Meadows-Corona Park,2
Woodside,Murray Hill-Queens,5
Central Park,Woodlawn/Wakefield,2
Washington Heights North,West Village,3
East New York/Pennsylvania Avenue,Middle Village,1
Cambria Heights,Springfield Gardens South,1
Lincoln Square East,East New York/Pennsylvania Avenue,6
Whitestone,Steinway,1
Kensington,Marine Park/Mill Basin,2
Highbridge,Upper West Side North,1
Hamilton Heights,Roosevelt Island,1
South Ozone Park,North Corona,2
Lower East Side,Bloomfield/Emerson Hill,2
Carroll Gardens,Randalls Island,1
Central Park,Manhattan Beach,1
Central Park,Madison,3
East New York,Borough Park,1
Hudson Sq,Briarwood/Jamaica Hills,1
Prospect-Lefferts Gardens,Upper East Side South,1
Penn Station/Madison Sq West,Breezy Point/Fort Tilden/Riis Beach,1
Jackson Heights,Randalls Island,1
Manhattanville,Brooklyn Navy Yard,1
East New York,Marine Park/Floyd Bennett Field,1
West Chelsea/Hudson Yards,Williamsburg (South Side),205
East Harlem South,Central Park,1235
Midtown Center,East Village,5464
Times Sq/Theatre District,Clinton West,9754
Murray Hill,Clinton East,7260
Bushwick North,Murray Hill,7
Midtown Center,Crown Heights South,33
Lenox Hill West,Murray Hill,5689
Meatpacking/West Village West,Kips Bay,932
Lenox Hill East,Williamsburg (North Side),153
Midtown Center,Central Harlem North,673
Upper West Side South,East Chelsea,2400
Ridgewood,Cypress Hills,6
Sutton Place/Turtle Bay North,Richmond Hill,28
Greenwich Village North,World Trade Center,1096
